x,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
-3.299999999999999822e+00,6.853816045069393779e-14,-3.684544879735358724e-14,-1.404425000251172904e-13,2.950742604833122709e-13,6.591205389771282165e-13,-1.477388516597805275e-12
-3.293333333333333446e+00,8.451405004380424775e-14,-4.542862678786452647e-14,-1.730307177970311684e-13,3.633384234738424240e-13,8.109700722688363890e-13,-1.816159705210116880e-12
-3.286666666666666625e+00,1.041176619820896328e-13,-5.595954428681806383e-14,-2.129831585859368166e-13,4.469795426952559818e-13,9.968725170870682995e-13,-2.230521770484258555e-12
-3.279999999999999805e+00,1.281503333876774484e-13,-6.886813888851397529e-14,-2.619181053586718703e-13,5.493651237480713555e-13,1.224249740744344543e-12,-2.736861296193643649e-12
-3.273333333333333428e+00,1.575853103044695494e-13,-8.467651155455640730e-14,-3.217990719361205607e-13,6.745784154327339568e-13,1.502092955196755333e-12,-3.355009678036477109e-12
-3.266666666666666607e+00,1.936034969561342075e-13,-1.040180766335833302e-13,-3.950061616566160140e-13,8.275657602505244851e-13,1.841283991192964289e-12,-4.108943890718758361e-12
-3.259999999999999787e+00,2.376363957112019886e-13,-1.276605603111542398e-13,-4.844216847108809011e-13,1.014313259195047534e-12,2.254980096288838235e-12,-5.027624856050378573e-12
-3.253333333333333410e+00,2.914176331357349920e-13,-1.565335935528550972e-13,-5.935327810224647333e-13,1.242058370873879854e-12,2.759074353027294404e-12,-6.145999413868830361e-12
-3.246666666666666590e+00,3.570447279425359570e-13,-1.917617846933032072e-13,-7.265543040808028853e-13,1.519543099857310514e-12,3.372746024164946904e-12,-7.506196608754947580e-12
-3.240000000000000213e+00,4.370530636457321796e-13,-2.347043207555121871e-13,-8.885758197809886924e-13,1.857316646276822996e-12,4.119117728435623408e-12,-9.158954531361040369e-12
-3.233333333333333393e+00,5.345043902428073216e-13,-2.870023395894620898e-13,-1.085737278293121148e-12,2.268096818636490847e-12,5.026039397034761790e-12,-1.116532042741286906e-11
-3.226666666666666572e+00,6.530926044984539255e-13,-3.506355419088424808e-13,-1.325438743911054990e-12,2.767201189939884773e-12,6.127022531874997078e-12,-1.359867436439961901e-11
-3.219999999999999751e+00,7.972700581004443557e-13,-4.279897789801116908e-13,-1.616590538143907387e-12,3.373060944512608531e-12,7.462352467282420455e-12,-1.654713560357438111e-11
-3.213333333333333375e+00,9.723982295028646585e-13,-5.219376646818536142e-13,-1.969911288648134738e-12,4.107832666625752125e-12,9.080411225912304262e-12,-2.011642116807184245e-11
-3.206666666666666554e+00,1.184927283027366503e-12,-6.359346275473912927e-13,-2.398282708264584955e-12,4.998126016804162373e-12,1.103924927103992959e-11,-2.443323816240340844e-11
-3.200000000000000178e+00,1.442609844363136683e-12,-7.741332480641343412e-13,-2.917171485946100657e-12,6.075868390486899025e-12,1.340845112197513836e-11,-2.964930545506173830e-11
-3.193333333333333357e+00,1.754755264167552674e-12,-9.415192291295277215e-13,-3.545130491076907632e-12,7.379331328980967225e-12,1.627134756768445580e-11,-3.594611669508603666e-11
-3.186666666666666536e+00,2.132531743142801365e-12,-1.144072934919305208e-12,-4.304393616438883084e-12,8.954347737775646645e-12,1.972763625860056195e-11,-4.354057565114294405e-11
-3.179999999999999716e+00,2.589324978236536161e-12,-1.388961119059568114e-12,-5.221581060995207670e-12,1.085575395801901836e-11,2.389648297622228141e-11,-5.269165694530328416e-11
-3.173333333333333339e+00,3.141163489818745898e-12,-1.684764262500529932e-12,-6.328534737018330673e-12,1.314909654315830334e-11,2.892018810141191077e-11,-6.370827086881353237e-11
-3.166666666666666519e+00,3.807222537538951663e-12,-2.041745872783092446e-12,-7.663306840309871735e-12,1.591265034029496761e-11,3.496851698487809797e-11,-7.695854064522934662e-11
-3.160000000000000142e+00,4.610420566778617548e-12,-2.472171180034957339e-12,-9.271328520024499925e-12,1.923980230877519580e-11,4.224380936375903589e-11,-9.288073485318514555e-11
