x,V,psi_0,density_0,psi_1,density_1,psi_2,density_2,psi_3,density_3,psi_4,density_4,psi_5,density_5
-3.799999999999999822e+00,9.022179999999998472e+02,6.436957426268525471e-22,4.143442090759351959e-43,-3.486558493716662879e-22,1.215609013010780425e-43,-1.393716836280420262e-21,1.942446619731503724e-42,3.036263346499846104e-21,9.218895109298444180e-42,7.132144497846833700e-21,5.086748513816686547e-41,-1.691163369544098887e-20,2.860033542487750533e-40
-3.795999999999999819e+00,8.981400063372797149e+02,7.634397607043620939e-22,5.828402682243336908e-43,-4.134934079487752481e-22,1.709767984170922771e-43,-1.652356753693314446e-21,2.730282841475908650e-42,3.598822179783684399e-21,1.295152108170299074e-41,8.450662471477380289e-21,7.141369620683618017e-41,-2.003033354419853101e-20,4.012142618918449125e-40
-3.791999999999999815e+00,8.940755259084799036e+02,9.051121378498480362e-22,8.192279820831223629e-43,-4.902003883023123203e-22,2.402964206917377605e-43,-1.958241279311730744e-21,3.834708908000443589e-42,4.263970631359454455e-21,1.818144554509594494e-41,1.000907410588570613e-20,1.001815644571117476e-40,-2.371498999627571636e-20,5.624007505234572860e-40
-3.787999999999999812e+00,8.900245295756797077e+02,1.072663878199492665e-21,1.150607795593975999e-42,-5.809146299661053529e-22,3.374618073086571156e-43,-2.319860474561573758e-21,5.381752621433049911e-42,5.050112587141562175e-21,2.550363714280564199e-41,1.185031114018989999e-20,1.404298741193088515e-40,-2.806661446212450319e-20,7.877348473655363280e-40
-3.783999999999999808e+00,8.859869882316799021e+02,1.270746003314736868e-21,1.614795404940377261e-42,-6.881526012996055656e-22,4.735540026754139068e-43,-2.747204493288705966e-21,7.547132527945655963e-42,5.978897796079340187e-21,3.574721885596238948e-41,1.402485806295775639e-20,1.966966436861111960e-40,-3.320393864297269297e-20,1.102501541406295348e-39
-3.779999999999999805e+00,8.819628727999999001e+02,1.504831434264406928e-21,2.264517645550272189e-42,-8.148752977934481017e-22,6.640217509539606916e-43,-3.252024016296950796e-21,1.057566020257215086e-41,7.075784324038211797e-21,5.006672380030488975e-41,1.659205742778623223e-20,2.752963696869562770e-40,-3.926646801809003276e-20,1.541855510615687333e-39
-3.775999999999999801e+00,8.779521542348797993e+02,1.781357714087638934e-21,3.173235305539538296e-42,-9.645654035593501055e-22,9.303864177436119680e-43,-3.848135082725256394e-21,1.480814361490091473e-41,8.370696699654455663e-21,7.006856323760599404e-41,1.962163663145072863e-20,3.850086240966890984e-40,-4.641805178499133729e-20,2.154635531514137457e-39
-3.771999999999999797e+00,8.739548035212799277e+02,2.107894067538359353e-21,4.443217399963409276e-42,-1.141317605086003282e-21,1.302605875679250141e-42,-4.551775744163366773e-21,2.071866242515397240e-41,9.898795724272379708e-21,9.798615679087315064e-41,2.319549301159876140e-20,5.380308960511269525e-40,-5.485105492241154336e-20,3.008638226101407565e-39
-3.767999999999999794e+00,8.699707916748798198e+02,2.493336870342532783e-21,6.216728749009495953e-42,-1.349944257003359740e-21,1.822349497016352963e-42,-5.382023185066847448e-21,2.896617356459709536e-41,1.170137853131130620e-20,1.369222595330331335e-40,2.740978013267648979e-20,7.512960469216668152e-40,-6.479123197117517044e-20,4.197903740342631550e-39
-3.763999999999999790e+00,8.660000897420795809e+02,2.948138268258633070e-21,8.691519248771011467e-42,-1.596098960304947415e-21,2.547531891086534130e-42,-6.361281366254840490e-21,4.046590062066105141e-41,1.382693051236252270e-20,1.911840073937017530e-40,3.237734510059685277e-20,1.048292475763142988e-39,-7.650341826918270757e-20,5.852773006869518239e-39
